code_muni,name_muni,abbrev_state,camargo_completo,cm_termico,cm_termico_codigo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,def_anual_mm,excedente_anual_mm,temp_anual_c,temp_mes_mais_frio_c,preenchido_por_vizinho
2802700.0,Ilha das Flores,SE,TR-MOv,TR,7.0,MO,4.0,v,465.9733368158341,201.36666655540463,25.319305,23.011667,False
2802809.0,Indiaroba,SE,TR-MOv,TR,7.0,MO,4.0,v,339.25999730825424,326.13333463668823,25.100416,22.871666,False
2802908.0,Itabaiana,SE,TR-MOv,TR,7.0,MO,4.0,v,549.7166607901454,257.4333337545395,24.321667,21.791666,False
2803005.0,Itabaianinha,SE,TR-SEv,TR,7.0,SE,3.0,v,610.0400103330612,87.29999840259552,24.226944,21.728333,False
2803104.0,Itabi,SE,TR-SEv,TR,7.0,SE,3.0,v,783.0566711425781,60.63333213329315,24.600695,21.608334,False
2803203.0,Itaporanga d'Ajuda,SE,TR-MOv,TR,7.0,MO,4.0,v,416.576663762331,492.8000066280365,25.13861,23.043333,False
2803302.0,Japaratuba,SE,TR-MOv,TR,7.0,MO,4.0,v,566.5066595673561,329.26667058467865,25.410418,23.021667,False
2803401.0,Japoatã,SE,TR-MOv,TR,7.0,MO,4.0,v,563.013335108757,236.4666621685028,24.298471,21.753334,False
2803500.0,Lagarto,SE,TR-MOv,TR,7.0,MO,4.0,v,565.526665866375,220.10000038146973,24.403889,21.885,False
2803609.0,Laranjeiras,SE,TR-MOv,TR,7.0,MO,4.0,v,507.0666698217392,387.7000033855438,25.473888,23.346666,False
2803708.0,Macambira,SE,TR-SEv,TR,7.0,SE,3.0,v,646.2366707324982,140.56666576862335,24.314722,21.706667,False
2803807.0,Malhada dos Bois,SE,TR-SEv,TR,7.0,SE,3.0,v,719.2299951314926,129.99999821186066,25.078056,22.286667,False
2803906.0,Malhador,SE,TR-MOv,TR,7.0,MO,4.0,v,532.8500045835972,339.7666754722595,24.004583,21.621666,False
2804003.0,Maruim,SE,TR-MOv,TR,7.0,MO,4.0,v,518.3000082373619,397.59999883174896,25.441944,23.29,False
2804102.0,Moita Bonita,SE,TR-SEv,TR,7.0,SE,3.0,v,618.0366723835468,193.26666629314423,23.919167,21.323334,False
2804201.0,Monte Alegre de Sergipe,SE,TR-SEp,TR,7.0,SE,3.0,p,767.4900045394897,42.36666655540466,24.458473,21.29,False
2804300.0,Muribeca,SE,TR-SEv,TR,7.0,SE,3.0,v,667.7533366680145,175.9000004529953,24.630417,21.953333,False
2804409.0,Neópolis,SE,TR-SEv,TR,7.0,SE,3.0,v,549.7766686677933,189.7666666507721,24.730694,22.201666,False
2804458.0,Nossa Senhora Aparecida,SE,TR-SEp,TR,7.0,SE,3.0,p,724.236665725708,48.83333414793015,24.15625,21.205,False
2804508.0,Nossa Senhora da Glória,SE,TR-SEp,TR,7.0,SE,3.0,p,712.8100039958954,54.60000056028366,24.02861,20.961666,False
2804607.0,Nossa Senhora das Dores,SE,TR-SEv,TR,7.0,SE,3.0,v,674.5333387255669,168.1000007390976,24.616112,21.978333,False
2804706.0,Nossa Senhora de Lourdes,SE,TR-SEv,TR,7.0,SE,3.0,v,789.556676864624,70.26666593551636,24.763056,21.753334,False
2804805.0,Nossa Senhora do Socorro,SE,TR-MOv,TR,7.0,MO,4.0,v,489.9399971961975,407.7000033855438,25.460556,23.39,False
2804904.0,Pacatuba,SE,TR-MOv,TR,7.0,MO,4.0,v,490.5066675171256,225.43333637714383,25.419582,23.101667,False
2805000.0,Pedra Mole,SE,TR-SEv,TR,7.0,SE,3.0,v,673.5999999046326,95.1333349943161,23.78,21.025,False
2805109.0,Pedrinhas,SE,TR-MOv,TR,7.0,MO,4.0,v,501.6333393454552,252.76666367053983,24.441944,22.031666,False
2805208.0,Pinhão,SE,TR-SEp,TR,7.0,SE,3.0,p,727.4666705131531,49.63333332538605,23.72,20.911667,False
2805307.0,Pirambu,SE,TR-MOv,TR,7.0,MO,4.0,v,509.7000042386353,301.9666645526886,25.453196,23.27,False
2805406.0,Poço Redondo,SE,TR-SEp,TR,7.0,SE,3.0,p,940.3800010681152,25.13333350419998,24.848333,21.481667,False
2805505.0,Poço Verde,SE,TR-SEp,TR,7.0,SE,3.0,p,773.7433338165283,42.03333353996277,23.86875,21.088333,False
2805604.0,Porto da Folha,SE,TR-SEp,TR,7.0,SE,3.0,p,878.5099983215332,35.56666678190231,24.963888,21.675,False
2805703.0,Propriá,SE,TR-SEv,TR,7.0,SE,3.0,v,696.0899882316589,102.50000077486038,25.48139,22.686666,False
